Date,Influenza,Febbre,Rinorrea,Mialgia,Cefalea,Vomito,Vaccino influenza stagionale,Vaccino antinfluenzale,Amantadina,Antivirale
2018-08-15,89,308,24,97,220,115,0,21,25,44
2018-08-16,90,284,23,77,223,127,0,67,41,37
2018-08-17,79,295,18,93,247,120,0,48,28,39
2018-08-18,82,290,39,65,196,120,0,19,33,39
2018-08-19,65,329,33,83,219,131,0,48,28,52
2018-08-20,111,359,47,112,310,130,2,76,44,46
2018-08-21,105,334,38,108,255,151,0,20,60,42
2018-08-22,127,455,44,115,288,148,0,35,41,52
2018-08-23,112,434,48,129,293,146,0,37,43,36
2018-08-24,111,396,47,101,316,118,0,28,43,34
2018-08-25,106,364,38,98,217,113,0,32,35,28
2018-08-26,118,407,21,102,284,104,0,80,57,33
2018-08-27,140,677,40,127,273,130,2,13,52,40
2018-08-28,179,502,51,134,309,146,0,72,76,39
2018-08-29,143,478,49,136,263,171,2,72,59,40
2018-08-30,151,413,36,135,285,130,0,30,70,47
2018-08-31,150,405,34,121,334,116,0,66,49,40
2018-09-01,115,375,31,124,309,154,0,76,46,32
2018-09-02,137,394,41,86,234,133,0,21,44,41
2018-09-03,193,411,36,120,391,161,0,71,54,38
2018-09-04,147,484,32,124,296,125,0,74,50,50
2018-09-05,209,442,31,137,308,159,0,76,73,36
2018-09-06,254,495,35,140,358,153,0,77,50,41
2018-09-07,177,375,33,137,332,152,0,25,45,42
2018-09-08,165,396,42,117,283,111,0,90,51,49
2018-09-09,130,399,33,106,259,146,0,91,44,40
2018-09-10,201,454,53,130,359,141,0,25,65,61
2018-09-11,184,498,34,166,311,156,1,49,70,41
2018-09-12,214,485,38,117,333,134,1,58,68,42
2018-09-13,232,412,30,124,310,153,1,94,79,50
2018-09-14,143,355,40,137,303,136,1,37,55,45
2018-09-15,182,365,32,129,266,194,0,41,47,37
2018-09-16,153,454,34,120,231,141,0,22,67,37
2018-09-17,206,529,25,122,337,140,0,17,65,48
2018-09-18,184,567,34,136,334,101,0,35,79,42
2018-09-19,198,533,47,136,385,99,0,46,56,47
2018-09-20,214,501,39,121,323,144,0,21,63,55
2018-09-21,180,416,39,122,306,154,0,23,46,37
2018-09-22,201,397,35,106,279,135,0,31,42,41
2018-09-23,195,509,44,135,255,165,0,37,58,45
2018-09-24,222,517,34,139,309,161,0,50,63,36
2018-09-25,252,559,39,126,295,146,0,53,82,43
2018-09-26,285,599,41,132,279,128,0,55,53,38
2018-09-27,330,504,44,107,300,158,0,68,47,47
2018-09-28,225,437,43,105,264,149,0,50,48,19
2018-09-29,222,425,44,76,341,191,2,37,32,40
2018-09-30,186,494,45,90,267,155,0,45,44,52
2018-10-01,271,536,43,120,336,157,0,53,60,61
2018-10-02,275,531,72,124,333,149,0,61,43,47
2018-10-03,258,613,48,102,295,157,0,52,45,58
2018-10-04,220,496,54,118,328,148,0,39,35,53
2018-10-05,253,469,59,121,299,125,1,57,35,52
2018-10-06,202,549,57,97,234,138,0,40,45,56
2018-10-07,221,562,45,140,282,151,1,34,36,54
2018-10-08,272,556,94,174,345,149,1,42,42,58
2018-10-09,259,582,47,133,393,168,1,52,57,66
2018-10-10,272,628,50,160,360,143,0,50,40,62
2018-10-11,233,581,56,144,396,156,0,63,54,55
2018-10-12,201,495,45,128,311,189,0,79,39,65
2018-10-13,196,464,55,130,280,129,0,60,34,39
2018-10-14,237,494,54,134,295,145,1,39,44,56
2018-10-15,256,616,68,149,388,164,1,58,66,70
2018-10-16,283,641,60,149,366,159,0,54,54,47
2018-10-17,281,582,54,130,333,159,0,48,58,61
2018-10-18,300,583,63,120,382,155,1,72,48,58
2018-10-19,264,496,54,135,299,133,0,62,43,38
2018-10-20,192,431,34,122,283,139,2,48,49,40
2018-10-21,231,555,41,103,303,146,0,44,49,42
2018-10-22,348,585,43,116,288,174,3,73,66,62
2018-10-23,281,579,65,124,321,162,2,64,48,49
2018-10-24,254,537,60,142,390,127,0,54,65,65
2018-10-25,297,574,65,157,345,168,0,66,58,81
2018-10-26,245,452,51,138,337,137,4,58,40,65
2018-10-27,197,444,66,111,291,149,1,56,45,49
2018-10-28,248,541,42,155,303,164,0,70,34,47
2018-10-29,242,439,41,108,478,309,1,63,56,36
2018-10-30,254,542,39,118,316,179,0,66,55,55
2018-10-31,225,541,36,127,428,147,0,82,54,35
2018-11-01,281,518,67,116,280,177,0,59,60,57
2018-11-02,257,446,66,149,281,196,1,81,746,56
2018-11-03,199,488,44,143,276,189,1,64,67,43
2018-11-04,263,593,60,139,293,190,0,73,67,46
2018-11-05,357,635,64,189,380,226,0,130,71,45
2018-11-06,287,592,69,147,370,203,0,125,76,68
2018-11-07,270,599,80,170,378,212,0,158,58,55
2018-11-08,352,612,66,167,364,224,1,143,64,64
2018-11-09,272,457,49,140,333,189,0,130,59,63
2018-11-10,256,483,46,142,283,188,0,101,76,61
2018-11-11,286,619,51,116,283,221,0,93,59,58
2018-11-12,348,625,46,166,400,215,1,139,77,64
2018-11-13,331,600,62,166,359,222,2,171,80,55
2018-11-14,306,574,83,173,373,217,1,190,88,79
2018-11-15,297,583,46,178,345,174,1,226,66,48
2018-11-16,259,594,68,147,338,195,0,159,53,52
2018-11-17,343,553,76,132,307,190,0,102,46,42
2018-11-18,322,621,77,138,279,223,1,76,70,42
2018-11-19,368,740,63,159,395,231,0,140,79,65
2018-11-20,409,815,78,164,355,198,0,145,80,63
2018-11-21,368,699,76,161,371,164,0,107,73,62
2018-11-22,370,874,66,131,313,167,0,126,43,66
2018-11-23,264,450,40,110,215,142,0,98,49,28
2018-11-24,193,398,28,88,183,140,0,48,44,40
2018-11-25,210,392,31,108,162,152,1,68,62,45
2018-11-26,261,539,31,186,199,159,0,78,69,55
2018-11-27,281,503,41,132,202,136,0,90,52,44
2018-11-28,569,429,46,87,266,135,0,67,69,35
2018-11-29,275,389,40,126,442,305,0,78,56,47
2018-11-30,262,351,36,110,280,142,0,59,54,39
2018-12-01,249,313,31,94,182,139,2,67,45,30
2018-12-02,276,359,41,96,202,121,0,63,54,48
2018-12-03,386,422,48,120,250,166,0,82,51,52
2018-12-04,339,435,46,106,266,130,0,78,52,53
2018-12-05,295,497,44,129,264,157,0,72,64,43
2018-12-06,278,475,33,114,271,155,1,47,63,52
2018-12-07,277,444,44,97,234,119,,46,55,40
